server name,server id,idle latency,idle jitter,packet loss,download,upload,download bytes,upload bytes,share url,download server count,download latency,download latency jitter,download latency low,download latency high,upload latency,upload latency jitter,upload latency low,upload latency high,idle latency low,idle latency high,date
"NextLight - Denver, CO",47683,19.4345,4.41825,0.0,9574385,3246026,108086684,44437200,https://www.speedtest.net/result/c/4bf1aff3-cc6d-4275-a6cd-f1acd782ff12,1,81.6065,18.3771,25.108,354.231,121.327,38.4074,22.025,562.004,16.616,25.845,2022-12-14 15:18:32.001887
"CenturyLink, Inc. - Denver, CO",52079,20.5089,4.96025,,11092640,1813380,118041664,3726496,https://www.speedtest.net/result/c/abff438e-fc78-4927-be9f-c30209bfd1f6,1,148.324,48.7909,22.256,512.914,250.864,73.9719,20.629,765.908,17.785,24.598,2022-12-14 15:19:29.646359
"Verso Networks - Denver, CO",20818,19.4305,1.93175,0.0,8974810,3743519,102043600,45522747,https://www.speedtest.net/result/c/af72b75b-173d-415e-8c9b-7a3524142b94,1,72.8919,13.4624,27.663,355.453,91.5966,37.7432,17.709,1185.02,17.863,20.699,2022-12-14 15:21:17.731927
"Netprotect - Denver, CO",37501,18.6683,4.1195,,9641585,1728782,105545704,3111808,https://www.speedtest.net/result/c/f599ea24-e412-4472-a131-2f4dc4349722,1,72.8968,14.7776,20.51,277.324,317.35,75.3683,48.547,610.076,15.222,22.979,2022-12-14 15:23:59.321740
"Whitesky Communications LLC - Denver, CO",23628,21.49,6.22025,0.0,11063470,3631481,95946123,45211905,https://www.speedtest.net/result/c/84d12caa-8a20-443a-b34a-d402541c3f6b,1,97.6258,21.8195,25.683,209.319,299.522,84.5272,26.034,591.121,16.765,27.862,2022-12-14 15:24:54.767130
"Xiber LLC - Denver, CO",18847,27.2997,2.79275,0.0,11840535,3165813,138622080,38773317,https://www.speedtest.net/result/c/aaf8b7ed-fc5c-4d67-b7d8-e60224184b34,1,98.4241,27.5763,18.168,267.548,243.301,50.5392,19.222,2660.8,22.028,29.689,2022-12-14 15:25:54.824599
"Xiber LLC - Denver, CO",18847,23.6984,13.064,0.0,12617059,3446951,117818160,42428993,https://www.speedtest.net/result/c/ae7c229d-9eae-4262-aa16-d42b871c8429,1,141.563,47.0149,23.198,455.78,154.915,51.7905,20.67,1561.96,20.3,42.634,2022-12-14 15:26:51.824324
"Netprotect - Denver, CO",37501,23.5833,5.63625,,11510428,2441440,136266624,32681909,https://www.speedtest.net/result/c/5e8e8faa-1502-486d-adc0-453a4770acf4,1,112.752,35.0605,25.446,536.629,117.742,45.903,16.344,1570.06,19.282,29.331,2022-12-14 15:27:52.606844
"Nitel - Denver, CO",16797,20.1637,10.7252,0.0,9243247,4157730,127992600,54212248,https://www.speedtest.net/result/c/d662274d-df3e-494a-97ee-6b743704d859,1,88.7071,21.0725,19.667,672.732,101.37,31.6748,22.446,602.175,15.435,29.779,2022-12-14 15:28:54.275903
"Nitel - Denver, CO",16797,24.9871,6.82625,0.0,10988130,3120015,130897540,39252376,https://www.speedtest.net/result/c/77ec38cb-6c34-4e54-94da-14be6dacb258,1,71.6442,15.5311,22.944,183.741,178.611,52.1771,21.132,2477.59,21.912,33.149,2022-12-14 15:29:53.427419
"Netprotect - Denver, CO",37501,20.4913,1.81775,,10181284,1650639,120647348,3289724,https://www.speedtest.net/result/c/d0288965-78f0-4b8f-8f1a-23944150baac,1,89.8603,24.4076,26.134,353.383,209.669,61.3855,23.94,491.225,15.638,21.871,2022-12-14 15:32:35.750559
"Netprotect - Denver, CO",37501,22.6189,3.103,,12710844,4151529,166112692,51620827,https://www.speedtest.net/result/c/753dc66b-d101-4ce5-ba3f-8f5e3c1e936a,1,76.9582,14.8426,20.5,347.461,88.8584,33.6971,18.672,1080.16,17.778,24.252,2022-12-15 08:11:59.055473
"Netprotect - Denver, CO",37501,21.8788,3.05825,,12688001,2355690,152248512,3257920,https://www.speedtest.net/result/c/b6884c12-ac31-46e8-9be1-bb6a98f6fd22,1,69.6778,16.3443,24.548,169.495,202.317,60.6502,18.683,524.098,16.898,28.542,2022-12-15 08:12:58.047278
"Verso Networks - Denver, CO",20818,20.6352,2.4465,0.0,8952366,3232347,106505480,40192144,https://www.speedtest.net/result/c/a2ea2489-00be-4378-a0d6-844245dac767,1,55.1164,26.1125,27.275,562.487,0.0,0.0,0.0,0.0,19.217,27.145,2022-12-15 08:13:56.935479
"NextLight - Denver, CO",47683,22.0935,3.31525,0.0,10159603,1879692,105634672,2813900,https://www.speedtest.net/result/c/65f51377-017f-4265-899a-9d9a8b1a9f4d,1,80.7623,20.3228,22.858,351.579,801.702,100.894,35.032,1121.42,15.672,28.933,2022-12-15 08:18:29.211547
"Nitel - Denver, CO",16797,21.1319,4.846,0.0,9341890,2520211,119974109,30309624,https://www.speedtest.net/result/c/15d10c42-a533-4fe1-8e56-9d74323ff476,1,104.945,33.3672,23.792,591.147,3706.22,131.344,32.344,5815.34,18.553,29.803,2022-12-15 08:19:32.391133
"Xiber LLC - Denver, CO",18847,19.8954,4.4595,0.0,12446619,2021778,145467088,3902032,https://www.speedtest.net/result/c/ab4bd9be-95c7-4e7b-b853-42947a666940,1,76.6458,19.8752,29.507,334.375,243.506,60.9337,33.069,438.099,16.6,22.947,2022-12-15 08:21:24.020632
"Comcast - Denver, CO",10051,18.0021,2.14725,0.0,13013645,2089256,105076600,3058672,https://www.speedtest.net/result/c/0dfc9fe2-3e36-4349-9b28-8ee624b37a94,1,115.443,36.703,29.83,548.695,631.6,95.9856,31.477,1207.46,16.689,21.812,2022-12-15 08:22:18.692697
"CenturyLink, Inc. - Denver, CO",52079,20.291,3.7025,,14043701,4709827,133662288,60641880,https://www.speedtest.net/result/c/62582848-b6e3-4ab9-8aa7-3bb65cf9ef04,1,143.074,48.2731,26.815,493.052,73.6911,24.833,20.203,1269.81,17.192,22.878,2022-12-15 08:23:14.922654
"Netprotect - Denver, CO",37501,21.615,4.595,,11960957,2055876,139314452,4196044,https://www.speedtest.net/result/c/676c699b-7d5d-4c99-beb8-fa6f69f22487,1,81.3425,19.6661,23.52,405.981,279.235,89.4741,19.874,737.254,15.573,24.589,2022-12-15 08:25:05.040657
"Lumen Technologies - 2 - Denver, CO",48907,18.1983,10.8722,,13540374,1742270,140475080,3707552,https://www.speedtest.net/result/c/d262b890-f45c-4f34-95a4-23377773f0c0,1,148.326,48.852,19.293,792.736,667.736,102.355,30.616,1337.01,16.606,35.734,2022-12-15 08:26:03.917443
"Nitel - Denver, CO",16797,19.3425,7.44625,0.0,7839799,2519333,83319880,25235924,https://www.speedtest.net/result/c/778a5891-0421-48a0-9367-7221dc6bc196,1,245.45,60.7714,18.096,3490.97,2228.64,135.386,96.26,4301.97,15.747,30.437,2022-12-15 08:27:06.887088
"Xiber LLC - Denver, CO",18847,17.2328,1.559,0.0,10394196,1319400,148116240,4198608,https://www.speedtest.net/result/c/6e6c1b94-87fe-4228-b077-33f87b83607f,1,60.3576,15.6014,24.839,357.279,159.653,61.603,20.631,598.962,16.214,21.124,2022-12-15 08:28:08.290730
"Comcast - Denver, CO",10051,19.1508,3.63825,0.0,10906892,4070287,141538652,49919887,https://www.speedtest.net/result/c/32b4b524-6cb3-4f3a-8c25-ef83433783ff,1,51.1917,12.5956,24.616,293.533,73.9143,28.2654,17.531,1137.0,16.958,25.498,2022-12-15 08:29:59.007790
"Comcast - Denver, CO",10051,27.1251,7.02525,0.0,10637671,2185459,90155588,4150188,https://www.speedtest.net/result/c/c8b9d0ae-877f-4f99-97cb-cad92d59295b,1,108.43,33.0993,21.475,409.431,160.323,73.9183,19.908,519.709,20.055,31.626,2022-12-15 08:30:54.370874
"Nitel - Denver, CO",16797,19.8673,3.19125,0.0,10341167,3370067,97800096,42396516,https://www.speedtest.net/result/c/ea0dda85-8904-421a-9e46-fc8f0ddb84ac,1,66.9693,11.9365,21.361,185.523,106.13,41.2738,14.927,2705.22,17.07,27.377,2022-12-15 08:31:50.147777
"Xiber LLC - Denver, CO",18847,19.8654,3.13275,0.0,10628170,4444497,71644800,53845055,https://www.speedtest.net/result/c/33b74861-df1e-48d5-afc9-e21655f29420,1,80.5151,21.8096,19.363,375.08,86.2373,35.9147,21.965,2372.83,15.923,23.442,2022-12-15 08:33:37.481846
